Player_Id,Year,Team,Games_Played,Attempts,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Rushes_Over_Twenty_Yards,Rushes_Over_Forty_Yards,Fumbles
kim-anderson,1983,BaltimoreColts,16,0,0,0,0,0,0,0,0,0,0
kim-anderson,1984,IndianapolisColts,1,0,0,0,0,0,0,0,0,0,0
kim-anderson,TOTAL,--,56,1,0,0,0,0,0,0,0,0,0
kimble-anders,1991,KansasCityChiefs,2,0,0,0,0,0,0,0,0,0,0
kimble-anders,1992,KansasCityChiefs,11,1,1,1,1,0,0,0,0,0,0
kimble-anders,1993,KansasCityChiefs,16,75,291,3.9,18,0,9,12,0,0,1
kimble-anders,1994,KansasCityChiefs,16,62,231,3.7,19,2,14,22.58,0,0,0
kimble-anders,1995,KansasCityChiefs,16,58,398,6.9,44,2,12,20.69,4,2,1
kimble-anders,1996,KansasCityChiefs,16,54,201,3.7,15,2,11,20.37,0,0,0
kimble-anders,1997,KansasCityChiefs,15,79,397,5,43,0,17,21.52,2,1,1
kimble-anders,1998,KansasCityChiefs,16,58,230,4,20,1,15,25.86,1,0,2
kimble-anders,1999,KansasCityChiefs,2,32,181,5.7,46,0,6,18.75,3,1,1
kimble-anders,2000,KansasCityChiefs,15,76,331,4.4,69,2,14,18.42,1,1,1
kimble-anders,TOTAL,--,125,495,2261,4.6,275,9,98,19.8,11,5,7
lance-alworth-2,1962,SanDiegoChargers,4,1,17,17,0,0,0,0,0,0,0
lance-alworth-2,1963,SanDiegoChargers,14,2,14,7,0,0,0,0,0,0,0
lance-alworth-2,1964,SanDiegoChargers,12,3,60,20,0,2,0,0,0,0,0
lance-alworth-2,1965,SanDiegoChargers,14,3,-12,-4,0,0,0,0,0,0,0
lance-alworth-2,1966,SanDiegoChargers,13,3,10,3.3,0,0,0,0,0,0,0
lance-alworth-2,1967,SanDiegoChargers,11,1,5,5,0,0,0,0,0,0,0
lance-alworth-2,1968,SanDiegoChargers,14,3,18,6,0,0,0,0,0,0,0
lance-alworth-2,1969,SanDiegoChargers,14,5,25,5,0,0,0,0,0,0,0
lance-alworth-2,1970,SanDiegoChargers,14,0,0,0,0,0,0,0,0,0,0
lance-alworth-2,1971,DallasCowboys,12,2,-10,-5,0,0,0,0,0,0,0
lance-alworth-2,1972,DallasCowboys,14,1,2,2,0,0,0,0,0,0,0
lance-alworth-2,TOTAL,--,136,24,129,5.4,0,2,0,0,0,0,0
leo-araguz,1996,OaklandRaiders,3,1,0,0,0,0,0,0,0,0,0
leo-araguz,1997,OaklandRaiders,16,1,0,0,0,0,0,0,0,0,1
leo-araguz,1998,OaklandRaiders,16,1,-12,-12,-12,0,0,0,0,0,0
leo-araguz,1999,OaklandRaiders,16,0,0,0,0,0,0,0,0,0,0
leo-araguz,2001,DetroitLions,3,0,0,0,0,0,0,0,0,0,0
leo-araguz,2003,MinnesotaVikings,2,0,0,0,0,0,0,0,0,0,0
leo-araguz,2005,SeattleSeahawks,4,0,0,0,0,0,0,0,0,0,0
leo-araguz,TOTAL,--,60,3,-12,-4,-12,0,0,0,0,0,1
louie-aguiar,1991,NewYorkJets,16,1,18,18,18,0,0,0,0,0,0
louie-aguiar,1992,NewYorkJets,16,0,0,0,0,0,0,0,0,0,0
louie-aguiar,1993,NewYorkJets,16,3,-27,-9,5,0,0,0,0,0,1
louie-aguiar,1994,KansasCityChiefs,16,0,0,0,0,0,0,0,0,0,0
louie-aguiar,1995,KansasCityChiefs,16,0,0,0,0,0,0,0,0,0,0
louie-aguiar,1996,KansasCityChiefs,16,0,0,0,0,0,0,0,0,0,0
louie-aguiar,1997,KansasCityChiefs,16,2,11,5.5,6,0,1,50,0,0,0
louie-aguiar,1998,KansasCityChiefs,16,0,0,0,0,0,0,0,0,0,0
louie-aguiar,1999,GreenBayPackers,15,0,0,0,0,0,0,0,0,0,0
louie-aguiar,2000,ChicagoBears,9,0,0,0,0,0,0,0,0,0,0
louie-aguiar,TOTAL,--,152,6,2,0.3,29,0,1,16.67,0,0,1
mack-alston,1970,WashingtonRedskins,8,0,0,0,0,0,0,0,0,0,0
mack-alston,1971,WashingtonRedskins,12,0,0,0,0,0,0,0,0,0,0
mack-alston,1972,WashingtonRedskins,14,0,0,0,0,0,0,0,0,0,0
mack-alston,1973,HoustonOilers,14,1,13,13,0,0,0,0,0,0,0
mack-alston,1974,HoustonOilers,13,1,-3,-3,0,0,0,0,0,0,0
mack-alston,1975,HoustonOilers,13,0,0,0,0,0,0,0,0,0,0
mack-alston,1976,HoustonOilers,14,0,0,0,0,0,0,0,0,0,0
mack-alston,1977,BaltimoreColts,14,0,0,0,0,0,0,0,0,0,0
mack-alston,1978,BaltimoreColts,16,0,0,0,0,0,0,0,0,0,0
mack-alston,1979,BaltimoreColts,14,0,0,0,0,0,0,0,0,0,0
mack-alston,1980,BaltimoreColts,13,0,0,0,0,0,0,0,0,0,0
mack-alston,TOTAL,--,145,2,10,5,0,0,0,0,0,0,0
marcus-allen,1982,LosAngelesRaiders,9,160,697,4.4,53,11,0,0,0,0,0
marcus-allen,1983,LosAngelesRaiders,16,266,1014,3.8,19,9,0,0,0,0,0
marcus-allen,1984,LosAngelesRaiders,16,275,1168,4.3,52,13,0,0,0,0,0
marcus-allen,1985,LosAngelesRaiders,16,380,1759,4.6,61,11,0,0,0,0,0
marcus-allen,1986,LosAngelesRaiders,13,208,759,3.7,28,5,0,0,0,0,0
marcus-allen,1987,LosAngelesRaiders,12,200,754,3.8,44,5,0,0,0,0,0
marcus-allen,1988,LosAngelesRaiders,15,223,831,3.7,32,7,0,0,0,0,0
marcus-allen,1989,LosAngelesRaiders,8,69,293,4.3,15,2,0,0,0,0,0
marcus-allen,1990,LosAngelesRaiders,16,179,682,3.8,28,12,0,0,0,0,0
marcus-allen,1991,LosAngelesRaiders,8,63,287,4.6,26,2,16,25.4,2,0,0
marcus-allen,1992,LosAngelesRaiders,16,67,301,4.5,21,2,24,35.82,2,0,1
marcus-allen,1993,KansasCityChiefs,16,206,764,3.7,39,12,55,26.7,3,0,4
marcus-allen,1994,KansasCityChiefs,13,189,709,3.8,36,7,47,24.87,2,0,3
