Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards 
chad-lewis,2000,PhiladelphiaEagles,16,69,735,10.7,52,3,35,50.72,11,1
chad-lewis,2001,PhiladelphiaEagles,15,41,422,10.3,33,6,20,48.78,5,0
chad-lewis,2002,PhiladelphiaEagles,16,42,398,9.5,30,3,22,52.38,4,0
chad-lewis,2003,PhiladelphiaEagles,16,23,293,12.7,29,1,17,73.91,4,0
chad-lewis,2004,PhiladelphiaEagles,15,29,267,9.2,21,3,16,55.17,1,0
chad-lewis,2005,PhiladelphiaEagles,8,5,64,12.8,17,0,4,80,0,0
chad-lewis,TOTAL,--,116,229,2361,10.3,220,23,127,55.46,26,1
chad-lucas,2005,GreenBayPackers,1,0,0,0,0,0,0,0,0,0
chad-lucas,2006,TampaBayBuccaneers,0,0,0,0,0,0,0,0,0,0
chad-lucas,2007,TampaBayBuccaneers,2,5,82,16.4,52,0,1,20,1,1
chad-lucas,TOTAL,--,3,5,82,16.4,52,0,1,20,1,1
charles-lee,2000,GreenBayPackers,15,10,134,13.4,38,0,7,70,1,0
charles-lee,2001,GreenBayPackers,7,3,32,10.7,23,1,2,66.67,1,0
charles-lee,2002,TampaBayBuccaneers,1,0,0,0,0,0,0,0,0,0
charles-lee,2003,TampaBayBuccaneers,8,33,432,13.1,72,2,18,54.55,5,2
charles-lee,2004,TampaBayBuccaneers,7,15,207,13.8,35,0,10,66.67,3,0
